epoch;loss;train_acc;train_auprc;train_auroc;train_dem_val;train_dem_var;train_minpse;train_nb;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_dem_val;val_dem_var;val_loss;val_minpse;val_nb;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
84;0.2840343318454194;0.88795;0.582096;0.868226;;;0.54001;14681;0.900587;0.692135;0.135345;0.978415;0.310015;0.877405;0.509653;0.844592;;;0.2958967587792082;0.496614;3222;0.896781;0.598086;0.13532;0.969849;0.286697
85;0.2854984923095292;0.888563;0.582231;0.866912;;;0.542254;14681;0.897027;0.73245;0.135345;0.984087;0.278309;0.878336;0.509773;0.844271;;;0.30082234420913634;0.498861;3222;0.892716;0.626437;0.13532;0.976669;0.25
86;0.28644084037984396;0.89122;0.595335;0.873483;;;0.556618;14681;0.902912;0.714286;0.135345;0.979518;0.327126;0.876474;0.50491;0.846034;;;0.29407960339261463;0.480726;3222;0.896942;0.588785;0.13532;0.968414;0.288991
87;0.2866352716522104;0.886929;0.568483;0.862389;;;0.538616;14681;0.898685;0.69395;0.135345;0.979675;0.294414;0.876164;0.504868;0.839694;;;0.29780125636480226;0.5;3222;0.895592;0.590244;0.13532;0.969849;0.277523
88;0.28511396569707864;0.890266;0.587764;0.869037;;;0.547141;14681;0.904873;0.689135;0.135345;0.975658;0.344741;0.878647;0.511711;0.843336;;;0.2966425853586582;0.485194;3222;0.899833;0.599119;0.13532;0.967337;0.311927
89;0.28342428061227837;0.889653;0.593021;0.871066;;;0.554271;14681;0.903043;0.694592;0.135345;0.977312;0.329643;0.877095;0.511091;0.847025;;;0.2940934677761508;0.484018;3222;0.897803;0.591743;0.13532;0.968055;0.295872
90;0.28526852516097495;0.893876;0.612434;0.875737;;;0.55996;14681;0.900749;0.772554;0.135345;0.985899;0.305989;0.883923;0.526095;0.843642;;;0.2926721248445046;0.485393;3222;0.895929;0.676136;0.13532;0.979541;0.272936
91;0.2839969437998596;0.891697;0.603018;0.874633;;;0.558128;14681;0.909863;0.67489;0.135345;0.970931;0.385506;0.876474;0.512487;0.84477;;;0.2964595271324164;0.488532;3222;0.904472;0.57037;0.13532;0.958363;0.353211
92;0.28702556163805415;0.890675;0.594576;0.870266;;;0.555611;14681;0.901514;0.719037;0.135345;0.9807;0.315551;0.878647;0.509605;0.845728;;;0.2949018271849216;0.498856;3222;0.89613;0.613065;0.13532;0.972362;0.279816
93;0.28491013772615903;0.892923;0.596716;0.871969;;;0.547739;14681;0.90722;0.702439;0.135345;0.975973;0.362355;0.880819;0.521659;0.844975;;;0.29301346884259966;0.504587;3222;0.903562;0.605691;0.13532;0.965183;0.341743
94;0.2857629148491672;0.892446;0.60297;0.873287;;;0.551585;14681;0.902106;0.737209;0.135345;0.982196;0.319074;0.880509;0.530675;0.84592;;;0.2912277206639782;0.518349;3222;0.896074;0.633508;0.13532;0.974874;0.277523
95;0.287296656483396;0.891084;0.591564;0.869746;;;0.544036;14681;0.899935;0.739506;0.135345;0.983378;0.30146;0.88144;0.52835;0.848672;;;0.29010252392787805;0.506881;3222;0.895395;0.648352;0.13532;0.977028;0.270642
96;0.2866644271047464;0.892037;0.601239;0.872129;;;0.551082;14681;0.898144;0.775342;0.135345;0.98708;0.284852;0.882682;0.525597;0.843296;;;0.2932568611259197;0.512415;3222;0.893979;0.674699;0.13532;0.980617;0.256881
97;0.28526297286401514;0.890879;0.596028;0.871887;;;0.549572;14681;0.901302;0.723577;0.135345;0.981251;0.313538;0.879888;0.525902;0.845945;;;0.2926264677744782;0.508929;3222;0.896005;0.626943;0.13532;0.974156;0.277523
98;0.28336465806753514;0.888972;0.584558;0.865997;;;0.551082;14681;0.899307;0.71584;0.135345;0.981487;0.297937;0.878026;0.505841;0.838163;;;0.29818527256661803;0.5;3222;0.894234;0.614973;0.13532;0.974156;0.263761
99;0.2826895607160487;0.888632;0.586684;0.871307;;;0.557121;14681;0.902526;0.686441;0.135345;0.976682;0.32612;0.88175;0.504085;0.838829;;;0.29733814788874746;0.486301;3222;0.900967;0.623318;0.13532;0.969849;0.318807
