epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_nb;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_nb;val_prec0;val_prec1;val_rec0;val_rec1
50;0.3073245082130493;0.8856345;0.5369543632528514;0.841276969753532;0.5218922999496729;14681;0.89877635;0.6770115;0.97786355;0.29642677;0.88175046;0.49578372006089555;0.820308126477736;0.3095363276408815;0.4819004524886878;3222;0.89778364;0.6381909;0.9741565;0.2912844
51;0.30770301455948407;0.88543016;0.5389292126379039;0.84162871251761;0.5251509054325956;14681;0.8953188;0.70252323;0.98235387;0.2662305;0.8833023;0.4907319991085816;0.8187192515658239;0.30721413907447565;0.481981981981982;3222;0.8956008;0.67045456;0.97918165;0.2706422
52;0.3064762461903489;0.8863838;0.5431160013717807;0.8449084798789422;0.5231388329979879;14681;0.89593506;0.71070015;0.98274773;0.27075994;0.8833023;0.497426812518987;0.8204670139689272;0.3061059576746546;0.48423423423423423;3222;0.89586073;0.66853935;0.9788227;0.27293578
53;0.3072476301926633;0.8856345;0.5419839560924085;0.8446313516191466;0.5230692076228686;14681;0.8951144;0.7075472;0.9829053;0.2642174;0.88268155;0.4979507929518804;0.8202101595790223;0.3074988616152923;0.4782608695652174;3222;0.8950131;0.6666667;0.97918165;0.26605505
54;0.3071617128468446;0.88318235;0.5427207466308572;0.8449222569991538;0.5231155778894472;14681;0.8887473;0.74285716;0.98865604;0.20936085;0.8823712;0.4942674341622141;0.8209708437337409;0.3069008766106387;0.4863013698630137;3222;0.8893562;0.71755725;0.9867193;0.21559633
55;0.30774548229807797;0.884749;0.5425845520004363;0.8465728352932791;0.5249119275289381;14681;0.8911405;0.73906;0.98731685;0.2294917;0.88268155;0.49532174137237817;0.823491639060308;0.30532960752794125;0.4782608695652174;3222;0.8911631;0.7013889;0.9845657;0.23165138
56;0.3072584790540695;0.8843403;0.5460122562096931;0.8471027489299638;0.5231155778894472;14681;0.8904275;0.7412354;0.9877895;0.22345243;0.88268155;0.49717005860837443;0.823042967129224;0.3064872535358372;0.4748858447488584;3222;0.8906554;0.70714283;0.98528355;0.22706422
57;0.3061868406281075;0.8848171;0.542914250943788;0.8446883433034751;0.5228988424760946;14681;0.8916495;0.7334385;0.98668665;0.23402114;0.8833023;0.501406815380076;0.8244589592787002;0.3064960172500468;0.4794520547945205;3222;0.8917425;0.70547944;0.9845657;0.23623854
58;0.3037621351222208;0.88413596;0.5463514952294878;0.8464308813971133;0.5259184700553599;14681;0.8909039;0.7306452;0.9868442;0.22798188;0.88175046;0.4954901194119713;0.8227589454480793;0.30708878792586497;0.482837528604119;3222;0.8905489;0.6923077;0.98420674;0.22706422
59;0.3037722852957383;0.88651997;0.5449385813479931;0.8431899674970973;0.5254151987921489;14681;0.897205;0.7008761;0.9811722;0.28183192;0.880509;0.49297728269313135;0.8181421524397874;0.31120360334658753;0.48853211009174313;3222;0.8950313;0.6393443;0.97631013;0.26834863
60;0.30436959037821526;0.8851577;0.5526923397541367;0.8479979643957982;0.5364871665827882;14681;0.8904654;0.757265;0.98881364;0.22294918;0.8833023;0.5018262420191973;0.8210976244261938;0.306685133732527;0.4908256880733945;3222;0.8899676;0.72727275;0.98707825;0.22018349
61;0.30427853783048164;0.8848171;0.5416588354834277;0.844489358076592;0.521389028686462;14681;0.89114827;0.74025977;0.98739564;0.2294917;0.88175046;0.49543774020819115;0.8204003306177019;0.3072240014833963;0.48394495412844035;3222;0.89080274;0.6896552;0.9838478;0.2293578
62;0.30171878670494706;0.8837954;0.5471314139359142;0.8477299349823008;0.5284348263714141;14681;0.88755643;0.7782178;0.99117696;0.1977856;0.880509;0.4959168320982673;0.8239633620263835;0.3074646425739273;0.48081264108352145;3222;0.886137;0.7256637;0.98887295;0.1880734
63;0.307099238607476;0.8827055;0.5435447573270317;0.8480370359122542;0.5223955712128837;14681;0.8867193;0.7676768;0.99094063;0.19124308;0.8820608;0.49804423786868846;0.8247026416486098;0.30550642903549635;0.481651376146789;3222;0.88731486;0.7413793;0.9892319;0.19724771
64;0.3038800723381799;0.885362;0.5519683079032395;0.8503354163810475;0.528643216080402;14681;0.89344674;0.7209302;0.9848747;0.24962255;0.8823712;0.4962202042843419;0.8226741505693606;0.3047236715374638;0.4908256880733945;3222;0.8934292;0.67484665;0.9809763;0.2522936
65;0.3007608805186465;0.8863838;0.5561671391701987;0.8497248421657426;0.5320962888665998;14681;0.8921611;0.75601923;0.98802584;0.23704076;0.8798883;0.4948468197940394;0.8223983614007127;0.30528654903635927;0.481651376146789;3222;0.88881683;0.6788321;0.98420674;0.21330275
66;0.30118157862845546;0.8877461;0.5552043555325873;0.8512389575885924;0.5279315551082033;14681;0.8963686;0.7269076;0.9839294;0.2732763;0.8795779;0.49450758361812625;0.8235435038890389;0.3065378603026558;0.4817351598173516;3222;0.8933727;0.63793105;0.97738695;0.25458714
67;0.30184159670110117;0.8852258;0.5517156023291767;0.8507307107035498;0.5254151987921489;14681;0.89069486;0.7550676;0.9885773;0.22496225;0.8798883;0.4974859272777207;0.8260346621706172;0.3054043942545601;0.47845804988662133;3222;0.88831335;0.68421054;0.9849246;0.2087156
68;0.3024025715166392;0.88461274;0.5509999790119067;0.8506157956447491;0.528169014084507;14681;0.8900156;0.75302243;0.98873484;0.21942627;0.8795779;0.49059320693350256;0.8257860402932091;0.3087899087148376;0.4793577981651376;3222;0.8877749;0.6846154;0.98528355;0.20412844
69;0.304820923120094;0.88590693;0.5585043535893697;0.8529662119992334;0.5339708102667338;14681;0.8897771;0.78571427;0.99078304;0.21590337;0.8808194;0.5030160942586579;0.8265491942016768;0.3074215891835188;0.48072562358276644;3222;0.8879199;0.7063492;0.9867193;0.20412844
70;0.3026611805794455;0.88590693;0.5565330879795264;0.8537069254867526;0.5289380976346251;14681;0.8905508;0.771777;0.9896802;0.22294918;0.880509;0.49606982080719136;0.8249578495360157;0.3058343364502761;0.4748858447488584;3222;0.8871332;0.7107438;0.9874372;0.19724771
71;0.30293589221169215;0.8861794;0.5515736466232933;0.8495490897228709;0.5304479114242576;14681;0.89460874;0.7212885;0.9843233;0.2591847;0.8820608;0.4993901356957042;0.8232216126504079;0.3061642565624008;0.4701834862385321;3222;0.89339435;0.6707317;0.98061734;0.2522936
72;0.3001866747985052;0.8874055;0.557513350094486;0.8509637918250573;0.5269250125817816;14681;0.8940681;0.7485119;0.98668665;0.25314546;0.88175046;0.5058335513583252;0.8270209171677524;0.30378439388868606;0.481651376146789;3222;0.8923328;0.6751592;0.98169416;0.24311927
73;0.30214255381045424;0.8879504;0.5610306705343934;0.8535354548539035;0.5319577252138903;14681;0.89753187;0.71811223;0.9825902;0.28334174;0.8823712;0.5021151961046582;0.8272794180601566;0.30284629349639;0.47757847533632286;3222;0.89601845;0.6557377;0.97738695;0.27522936
74;0.3010320415417494;0.8852258;0.5561273651037093;0.8513376770974466;0.5266599597585513;14681;0.8886535;0.7915058;0.99149203;0.20634122;0.8814401;0.504936462227775;0.8264816875992017;0.3064506076863654;0.4885844748858447;3222;0.88699293;0.73275864;0.98887295;0.19495413
75;0.2983397882449254;0.88726926;0.5628819532393274;0.85493124562849;0.5364871665827882;14681;0.8930988;0.759375;0.9878683;0.24458984;0.88112974;0.5003760659646875;0.8259976158643808;0.30429377212593234;0.4817351598173516;3222;0.89124066;0.6754967;0.98241204;0.23394495
76;0.30091392157417773;0.8884272;0.5683189199863533;0.8572163643801298;0.5324609964771012;14681;0.89317214;0.7809984;0.9892863;0.24408656;0.88485414;0.5012747773533591;0.8299788589079078;0.30268602407566886;0.48394495412844035;3222;0.8926829;0.7210884;0.98528355;0.24311927
77;0.30012139665872195;0.88372725;0.5587599346301763;0.8542453036275098;0.5314544539506794;14681;0.886458;0.80042917;0.9926737;0.18772018;0.8792675;0.49768085677961776;0.8291226776082246;0.30990735277959014;0.48291571753986334;3222;0.88376564;0.7373737;0.99066764;0.16743119
78;0.30003741733929284;0.88672435;0.5673910873525734;0.8566805037850804;0.5354806240563664;14681;0.89009124;0.798893;0.9914133;0.21791646;0.87895715;0.4974384023777057;0.8272967063364002;0.30723872546784115;0.4911504424778761;3222;0.8857051;0.69827586;0.9874372;0.18577981
79;0.29742584753126633;0.887133;0.5671451521108795;0.8569684555090997;0.5385002516356316;14681;0.8911333;0.78846157;0.99046797;0.22697534;0.88175046;0.4982209838115756;0.829389411013126;0.30568079342851723;0.48642533936651583;3222;0.88827896;0.72;0.9874372;0.20642202
80;0.2979212892718507;0.88577074;0.5684098024300502;0.8583121905748003;0.5410166079516859;14681;0.8891558;0.7946768;0.99149203;0.21036738;0.880509;0.49879829079528104;0.8302546480765558;0.30619446291344865;0.48291571753986334;3222;0.886137;0.7256637;0.98887295;0.1880734
81;0.29962130236372736;0.88726926;0.5674912714405096;0.8570824587009512;0.5390035228988425;14681;0.8926513;0.76602566;0.9884985;0.24056366;0.8792675;0.5003572732358131;0.8263730184342419;0.3072798602990598;0.47954545454545455;3222;0.88924974;0.66433567;0.982771;0.2178899
82;0.2995597010944134;0.8869287;0.5641737291791882;0.8569055961591847;0.5364871665827882;14681;0.89278084;0.7574803;0.9878683;0.24207348;0.8792675;0.4974828219715427;0.8263993624742323;0.30896620617047516;0.481651376146789;3222;0.89026374;0.65562916;0.9813352;0.22706422
83;0.2979409730115303;0.8862475;0.564928630808763;0.857719100417088;0.5339708102667338;14681;0.8903683;0.7825312;0.99038917;0.22093609;0.8808194;0.4934659898029501;0.8253357218596258;0.3088927752367833;0.4789356984478936;3222;0.8886731;0.6969697;0.9856425;0.21100917
84;0.29724126698972103;0.8875417;0.5724744900814707;0.8601940659029239;0.5404725992961287;14681;0.8935215;0.75846153;0.987632;0.24811274;0.8795779;0.49511315199694084;0.8246005584936478;0.307304750135935;0.4908256880733945;3222;0.8905538;0.65789473;0.9813352;0.2293578
85;0.30138821833713136;0.8883591;0.5718639513292186;0.8595782980106472;0.5429864253393665;14681;0.89423007;0.76363635;0.9877107;0.25364873;0.8792675;0.4948285670116884;0.825911174483163;0.3052946123728687;0.4864864864864865;3222;0.8897561;0.65986395;0.9820531;0.22247706
86;0.29747531821448975;0.88590693;0.5743751068683891;0.8604145791190873;0.5410166079516859;14681;0.88933647;0.7943396;0.9914133;0.2118772;0.8786468;0.49902940736394064;0.8260371319243663;0.30486913027229107;0.481651376146789;3222;0.8849245;0.7027027;0.98815507;0.17889908
87;0.3005145711938612;0.8877461;0.571903642066863;0.8593813149264136;0.5438157235853781;14681;0.89360034;0.76117104;0.9877895;0.24861601;0.8814401;0.4952967051137399;0.8284196210409848;0.3038465166493353;0.48623853211009177;3222;0.8907672;0.6849315;0.98348886;0.2293578
88;0.2940524554420708;0.8892446;0.57082320811082;0.8557019516093619;0.5368790767686904;14681;0.8996822;0.7161677;0.98132974;0.30095622;0.8820608;0.4993878936617613;0.8282442685247996;0.30468132043480506;0.481651376146789;3222;0.8988727;0.6359223;0.9730797;0.30045873
89;0.30048027891237117;0.88543016;0.5623252552103851;0.854888427528264;0.5339708102667338;14681;0.8885674;0.79843444;0.99188596;0.20533468;0.8798883;0.49976336152104617;0.8278227638849556;0.30974750341252094;0.48394495412844035;3222;0.88556737;0.7207207;0.98887295;0.18348624
90;0.29685155470420294;0.88672435;0.5773865581690132;0.8605234481035505;0.5399698340874811;14681;0.8903121;0.7945455;0.99109817;0.21992955;0.8795779;0.5030571627662798;0.8313133491836642;0.3027573321581183;0.48394495412844035;3222;0.88702387;0.6935484;0.9863604;0.19724771
91;0.29803090284796535;0.8874055;0.5759051140334628;0.861118262879189;0.5410166079516859;14681;0.8921645;0.7764901;0.98936504;0.23603423;0.88547486;0.5072135421390671;0.8320032337309088;0.3023750785019071;0.4806378132118451;3222;0.8930081;0.72789115;0.9856425;0.24541284
92;0.2969802985323457;0.88706493;0.5768790266021543;0.8633778890026388;0.5465525918470056;14681;0.8915141;0.7802385;0.9898377;0.23049824;0.8823712;0.5033290847771261;0.8295450054993184;0.30463717579101646;0.48623853211009177;3222;0.8898607;0.7111111;0.98600143;0.22018349
93;0.2945918548464223;0.8864519;0.5802113010227189;0.8647793888572554;0.5456827309236948;14681;0.8897844;0.79850745;0.99149203;0.2154001;0.8820608;0.49769345296164763;0.8319637176709234;0.30168469575789314;0.4793577981651376;3222;0.888315;0.7258065;0.9877961;0.20642202
94;0.29858179359257375;0.8867925;0.5735486447114793;0.8607589476547932;0.5450427780573729;14681;0.8919284;0.76771003;0.9888924;0.23452441;0.8820608;0.4968522601681323;0.825726766203231;0.3061869771333676;0.48394495412844035;3222;0.8905844;0.6971831;0.9845657;0.22706422
95;0.2953273861858729;0.8882229;0.5774769239981545;0.8617256455601713;0.5425264217413186;14681;0.8948346;0.75292397;0.98668665;0.2591847;0.8823712;0.5015233952155814;0.8271666326389484;0.3069568800905859;0.4874715261958998;3222;0.8934292;0.67484665;0.9809763;0.2522936
